state,region,total_pop,men,women,hispanic_prcnt,hispanic_count,white_prcnt,white_count,black_prcnt,black_count,other_prcnt,other_count,native_prcnt,native_count,asian_prcnt,asian_count,pacific_prcnt,pacific_count,citizen,income,poverty_prcnt, poverty_count,childpoverty_prcnt,childpoverty_count,professional_prcnt,professional_count,service_prcnt,service_count,office_prcnt,office_count,construction_prcnt,construction_count,production_prcnt,production_count,drive_prcnt,drive_count,carpool_prcnt,carpool_count,transit_prcnt,transit_count,walk_prcnt,walk_count,othertrans_prcnt,othertrans_count,employed,privatework_prcnt,privatework_count,workathome_prcnt,workathome_count,meancommute,public_prcnt,public_count,selfemploy_prcnt,selfemploy_count,unemploy_prcnt,unemploy_count,familywork_prcnt,familywork_count
Oklahoma,South,3849733,1906944,1942789,9.67,372094.68,67.31,2591157.26,7.12,273972.17,7.07,272094.25,6.94,267167.13,1.9,72992.73,0.13,4927.12,2768561,"48,568",16.73,643991.28,23.19,892808.41,32.95,1268530.36,17.74,683130.68,24.05,925962.68,11.8,454206.6,13.43,516923.19,82.46,3174461.57,10.42,401327.88,0.45,17464.78,1.78,68707.91,1.38,53134.08,1719541,76.27,2936378.13,3.47,133719.83,21.94,17.19,661856.51,6.31,242773.61,6.4,246239.07,0.22,8654.6
Oregon,West,3939233,1948453,1990780,12.34,486237.07,77.25,3042995.94,1.76,69312.11,1.29,50746.44,0.92,36376.12,3.93,154677.6,0.36,14370.32,2867670,"54,148",16.51,650396.47,21.79,858228.35,36.42,1434850.22,18.79,740110.39,23.48,925016.27,9.1,358615.03,12.21,480943.67,71.81,2828907.09,10.43,410932.4,4.09,161275.92,4.02,158401.83,3.39,133432.12,1789807,77.64,3058262.54,6.26,246564.4,19.86,14.36,565850.69,7.83,308511.45,9.43,371473.55,0.16,6339.5
Pennsylvania,Northeast,12779559,6245344,6534215,6.38,815240.66,78.09,9979061.07,10.55,1347726.52,0.12,15499.24,0.12,15152.88,3.05,389522.54,0,346.36,9710416,"55,702",13.49,1724244.07,19.27,2462614.26,36.41,4652587.03,17.79,2272891.31,23.95,3060102.82,8.28,1058272.8,13.57,1733571.07,76.12,9727645.46,8.75,1117793.07,5.83,745128.01,3.95,505397.19,1.41,180333.31,6001889,83.79,10708485.41,3.96,505435.01,25.09,10.92,1395678.12,5.14,657238.44,7.97,1018490.38,0.14,18475.97
Rhode Island,Northeast,1053661,510388,543273,13.63,143599.54,74.55,785473.25,5.36,56451.66,0.43,4493.82,0.37,3863.36,3.19,33644.73,0.06,630.46,776565,"58,073",14.23,149949.8,20.03,211017.01,36.78,387533.04,20.22,213041.13,24.42,257275.09,7.23,76166.99,11.36,119644.77,79.78,840662.36,8.53,89928.03,2.97,31251.04,3.74,39368.18,1.51,15954.71,518170,82.42,868444.4,3.45,36380.91,24.4,12.64,133146.98,4.89,51548.07,8.59,90557.8,0.11,1201.19
South Carolina,South,4777576,2322409,2455167,5.33,254494.56,63.86,3051089.77,27.3,1304151.45,0.35,16619.31,0.29,14055.95,1.39,66476.99,0.05,2563.36,3566508,"47,238",17.94,856946.14,26.37,1259894.25,32.73,1563518.91,18.32,875135.43,24.74,1181999.42,9.23,440900.82,15,716679.71,82.84,3957836.12,9.36,447374.63,0.6,28462.06,2.17,103450.22,1.58,75368.14,2075274,78.71,3760260.2,3.49,166544.95,25.86,15.82,755777.62,5.33,254709.35,9.6,458519.48,0.15,7137.07
South Dakota,Midwest,843190,423477,419713,3.31,27931.41,83.22,701669.43,1.51,12722.98,8.33,70217.07,8.29,69921.58,1.21,10200.3,0.04,295.49,621770,"53,017",14.14,119226.73,17.68,149114.61,34.97,294833.44,17.51,147654.98,23.75,200247.19,11.05,93140.86,12.74,107385.06,78.59,662692.7,9.45,79661.93,0.54,4587.8,4.1,34582.33,1.52,12824.25,430853,74.66,629494.17,5.81,49000.39,16.84,16.6,139928.59,8.47,71452.98,4.81,40579.96,0.28,2397.36
Tennessee,South,6499615,3167756,3331859,4.93,320249.38,74.73,4856890,16.68,1084329.74,0.25,16425.88,0.22,14039.54,1.57,101734.2,0.04,2386.34,4828366,"47,275",17.67,1148364.07,25.77,1674818.47,33.26,2162029.21,17.07,1109655.29,24.71,1606025.44,9.05,588024.9,15.9,1033664.25,83.86,5450588.06,9.27,602345.5,0.76,49614.14,1.32,85869.12,1.21,78821.73,2888742,78.71,5115877.4,3.56,231148.91,26.39,14.23,924818.35,6.9,448714.56,8.55,555772.53,0.16,10388.58
Texas,South,26538614,13171316,13367298,38.42,10194837.56,43.85,11636307.44,11.58,3073829.28,0.33,87861.07,0.26,68304.35,4.18,1108442.65,0.07,19556.72,16864962,"55,653",17.28,4586249.91,24.44,6486481.3,34.6,9181579.98,17.91,4753110.81,24.39,6472482.94,11.04,2930115.41,12.07,3204089.42,80.24,21295370.61,10.84,2877309.45,1.51,401761.55,1.62,430792.91,1.74,460664.46,12094262,79.05,20978461.56,4.03,1070747.32,22.41,14.11,3745536.75,6.68,1771667.38,7.08,1879388.48,0.15,39333.26
Utah,West,2903379,1459229,1444150,13.42,389500.18,79.48,2307625.58,1.01,29349.64,1.82,52764.84,0.93,27077.23,2.17,62888.87,0.88,25687.61,1868008,"62,912",12.35,358458.63,14.52,421648.65,36.71,1065889.05,15.68,455376.61,26.1,757911.61,8.96,260252.29,12.52,363444.11,75.92,2204385.98,11.97,347483.1,2.45,70989.91,2.57,74593.11,1.98,57405.53,1337646,79.91,2319974.01,5.1,148111.37,19.96,15.38,446410.68,4.55,132238.65,5.79,168028.08,0.15,4431.8
Vermont,Northeast,626604,308573,318031,1.71,10700.98,93.61,586536.12,1.07,6707.53,0.33,2089.07,0.31,1952.12,1.38,8656.79,0.02,136.95,493124,"56,990",11.53,72240.03,15.08,94505.09,40.16,251633.67,17.41,109111.58,21.37,133905.39,10.24,64145.3,10.84,67937.51,75.37,472275.03,9.44,59180.32,1.15,7214.27,5.69,35655.86,1.59,9944.94,326732,75.83,475154.65,6.69,41924.59,24.02,14.59,91407.27,9.35,58617.92,5.5,34494.52,0.23,1429.55
Virginia,South,8256630,4060948,4195682,8.59,709376.77,63.44,5237894.67,18.91,1560970.14,0.27,22272.59,0.2,16693.06,5.92,488908.37,0.07,5579.53,5948625,"66,262",11.66,962687.42,16.01,1322147.57,41.65,3438774.81,17.14,1415087.19,22.71,1875395.8,8.63,712170.09,9.89,816667.58,78.08,6446692.12,9.49,783552.39,4.1,338393.66,2.3,189785.38,1.56,128536.01,3990770,74.47,6148805.05,4.49,371017.2,27.35,20.39,1683128.09,5.01,413516.4,6.6,544652.04,0.12,9880.78
Washington,West,6985464,3487725,3497739,11.97,836260.39,70.76,4943261.91,3.48,243277,1.77,123937.95,1.17,81561.09,7.6,530727.01,0.61,42376.87,4937212,"64,129",13.28,927940.61,17.23,1203284.58,38.26,2672807.28,17.68,1234759.14,22.62,1580279.26,9.94,694125.84,11.5,803413.23,73.02,5101115.32,10.33,721396.1,5.66,395375,3.43,239764.32,2.09,146172.24,3259877,77.26,5396851.93,5.45,380856.93,22.87,16.5,1152520.22,6.06,423406.94,7.94,554545.25,0.18,12859.24
West Virginia,South,1851420,913631,937789,1.37,25340.32,92.54,1713394.41,3.26,60441.4,0.16,2958.73,0.14,2592.77,0.72,13316.45,0.02,365.96,1455848,"42,019",18.02,333606.75,25.04,463550.7,31.65,586052.89,18.91,350098.02,24.06,445473.33,12.3,227782.69,13.07,241997.22,82.37,1525101.49,10.13,187527.66,0.77,14189.69,2.78,51493.53,1.09,20113.9,751252,76.39,1414331.8,2.87,53062.89,27.97,19.05,352732.4,4.43,82097.91,7.87,145745.72,0.11,2045.2
Wisconsin,Midwest,5742117,2851385,2890732,6.35,364493.96,82.38,4730172.15,6.17,354095.42,0.81,46574.84,0.8,46165.2,2.5,143441.79,0.01,409.64,4294321,"55,638",12.97,744679.11,17.58,1009738.1,34.27,1968053.16,17.13,983616.94,23.03,1322303.67,8.58,492547.13,16.98,974926.66,80.53,4623964.89,8.5,487886.04,1.91,109815.4,3.32,190405.65,1.68,96508.86,2883390,82.28,4724876.35,4.08,234176.37,22.26,12.35,709385.86,5.17,296796.99,6.36,364992.78,0.18,10295.93
Wyoming,West,579679,295561,284118,9.62,55774.1,84.47,489682.89,1.02,5938.77,1.97,11440.23,1.9,11034.23,0.89,5178.04,0.07,406,430026,"60,214",11.56,67003.97,14.74,85445.92,32.56,188723.21,17.69,102523.18,21.27,123285.23,16.05,93047.52,12.45,72196.04,76.84,445447.28,11.22,65011.69,1.56,9023.52,3.79,21981.33,2.11,12215.47,293949,72.05,417674.12,4.48,25977.63,19.86,21.28,123349.77,6.42,37217.39,4.88,28265.18,0.24,1408.82
